run_name,model_family,model_name,train_lang,test_lang,setting,input_variant,seed,n_train,n_test,n_params,accuracy,macro_precision,macro_recall,macro_f1,sarcasm_precision,sarcasm_recall,sarcasm_f1,train_time_s,best_val_macro_f1,num_heads,num_layers,pos_encoding,llm_model,provider,prompt_version,latency_s,latency_per_item_s
EN->EN__majority_floor__context_utterance__seed13,baseline,majority_floor,EN,EN,EN->EN,context_utterance,13,483,207,0.0,0.4975845410628019,0.24879227053140096,0.5,0.33225806451612905,0.4975845410628019,1.0,0.6645161290322581,,,,,,,,,,
EN->EN__tfidf_logreg__context_utterance__seed13,classical,tfidf_logreg,EN,EN,EN->EN,context_utterance,13,483,207,16531.0,0.6280193236714976,0.6293478260869565,0.6277539208364451,0.6267650158061117,0.6413043478260869,0.5728155339805825,0.6051282051282051,0.5881,,,,,,,,,
EN->EN__tfidf_svm__context_utterance__seed13,classical,tfidf_svm,EN,EN,EN->EN,context_utterance,13,483,207,16531.0,0.5990338164251208,0.5990654205607476,0.5989544436146378,0.598884038008078,0.6,0.5825242718446602,0.5911330049261084,0.0579,,,,,,,,,
EN->EN__text_cnn__context_utterance__seed13,cnn_rnn,text_cnn,EN,EN,EN->EN,context_utterance,13,410,207,640194.0,0.5942028985507246,0.6012121212121213,0.5935399551904406,0.5860788421253094,0.6266666666666667,0.4563106796116505,0.5280898876404494,2.09,0.6198649951783992,,,,,,,,
EN->EN__bigru__context_utterance__seed13,cnn_rnn,bigru,EN,EN,EN->EN,context_utterance,13,410,207,616066.0,0.6521739130434783,0.6785714285714286,0.6512322628827483,0.6379712397979014,0.746031746031746,0.4563106796116505,0.5662650602409639,1.43,0.5944444444444444,,,,,,,,
EN->EN__single_head_attn__context_utterance__seed13,scratch_transformer,single_head_attn,EN,EN,EN->EN,context_utterance,13,410,207,591106.0,0.5120772946859904,0.5120448179271708,0.5120425690814041,0.5120317423269927,0.5098039215686274,0.5048543689320388,0.5073170731707317,0.6,0.4834576400841461,,,,,,,,
EN->EN__multi_head_attn__context_utterance__seed13,scratch_transformer,multi_head_attn,EN,EN,EN->EN,context_utterance,13,410,207,607618.0,0.5410628019323671,0.5893540161495963,0.5392550410754294,0.46511627906976744,0.6538461538461539,0.1650485436893204,0.26356589147286824,0.69,0.44696969696969696,4.0,,,,,,,
EN->EN__tr_enc_L2_sin__context_utterance__seed13,scratch_transformer,tr_enc_L2_sin,EN,EN,EN->EN,context_utterance,13,410,207,806530.0,0.6521739130434783,0.6658658760989573,0.651465646004481,0.6441940412528648,0.7123287671232876,0.5048543689320388,0.5909090909090909,1.11,0.5137147335423198,4.0,2.0,sinusoidal,,,,,
EN->EN__abl_heads1__context_utterance__seed13,scratch_transformer,abl_heads1,EN,EN,EN->EN,context_utterance,13,410,207,806530.0,0.6280193236714976,0.6343996062992125,0.627473861090366,0.6229508196721312,0.6625,0.5145631067961165,0.5792349726775956,1.04,0.5709247648902821,1.0,2.0,sinusoidal,,,,,
EN->EN__abl_heads2__context_utterance__seed13,scratch_transformer,abl_heads2,EN,EN,EN->EN,context_utterance,13,410,207,806530.0,0.6473429951690821,0.6615740740740741,0.6466112770724421,0.6387089061566049,0.7083333333333334,0.49514563106796117,0.5828571428571429,1.1,0.5635486981677917,2.0,2.0,sinusoidal,,,,,
