model_name,a,b,n_pairs,mean_a,mean_b,delta,p_value,note
abl_heads1,EN->EN,EN->TL,0,,,,,need >=2 seeds
abl_heads1,EN->TL,TL->TL,0,,,,,need >=2 seeds
abl_heads2,EN->EN,EN->TL,0,,,,,need >=2 seeds
abl_heads2,EN->TL,TL->TL,0,,,,,need >=2 seeds
abl_layers1,EN->EN,EN->TL,0,,,,,need >=2 seeds
abl_layers1,EN->TL,TL->TL,0,,,,,need >=2 seeds
abl_layers4,EN->EN,EN->TL,0,,,,,need >=2 seeds
abl_layers4,EN->TL,TL->TL,0,,,,,need >=2 seeds
abl_pos_learn,EN->EN,EN->TL,0,,,,,need >=2 seeds
abl_pos_learn,EN->TL,TL->TL,0,,,,,need >=2 seeds
abl_pos_none,EN->EN,EN->TL,0,,,,,need >=2 seeds
abl_pos_none,EN->TL,TL->TL,0,,,,,need >=2 seeds
bigru,EN->EN,EN->TL,10,0.5978136568573496,0.43862850579393403,-0.15918515106341552,0.001953125,
bigru,EN->TL,TL->TL,10,0.43862850579393403,0.5460040015409626,0.1073754957470286,0.005859375,
distilbert_multi,EN->EN,EN->TL,10,0.6188967041681752,0.5308074912926675,-0.08808921287550775,0.005859375,
distilbert_multi,EN->TL,TL->TL,10,0.5308074912926675,0.6011349666238592,0.07032747533119177,0.005859375,
majority_floor,EN->EN,EN->TL,0,,,,,need >=2 seeds
majority_floor,EN->TL,TL->TL,0,,,,,need >=2 seeds
mbert,EN->EN,EN->TL,10,0.6480965996613111,0.5437197617735101,-0.10437683788780094,0.009765625,
mbert,EN->TL,TL->TL,10,0.5437197617735101,0.5954491398725585,0.05172937809904843,0.083984375,
multi_head_attn,EN->EN,EN->TL,10,0.5477682943039396,0.39722463563773414,-0.15054365866620545,0.001953125,
multi_head_attn,EN->TL,TL->TL,10,0.39722463563773414,0.5449899452135918,0.14776530957585765,0.001953125,
single_head_attn,EN->EN,EN->TL,10,0.5603498444242122,0.37040439773459216,-0.18994544668962005,0.001953125,
single_head_attn,EN->TL,TL->TL,10,0.37040439773459216,0.5370015213398289,0.16659712360523676,0.001953125,
tagalog_roberta,EN->EN,EN->TL,0,,,,,need >=2 seeds
tagalog_roberta,EN->TL,TL->TL,0,,,,,need >=2 seeds
text_cnn,EN->EN,EN->TL,10,0.5941888248186526,0.4214356970557979,-0.17275312776285473,0.00390625,
text_cnn,EN->TL,TL->TL,10,0.4214356970557979,0.5578001900238417,0.13636449296804382,0.00390625,
tfidf_logreg,EN->EN,EN->TL,10,0.6499714735572886,0.5543704694865041,-0.09560100407078442,0.001953125,
tfidf_logreg,EN->TL,TL->TL,10,0.5543704694865041,0.5911815866285206,0.03681111714201646,0.037109375,
tfidf_svm,EN->EN,EN->TL,10,0.6493240120800056,0.5583886849117639,-0.09093532716824171,0.001953125,
tfidf_svm,EN->TL,TL->TL,10,0.5583886849117639,0.5864909428491679,0.028102257937404063,0.064453125,
tr_enc_L2_sin,EN->EN,EN->TL,10,0.5770292996545597,0.4156671788066867,-0.16136212084787305,0.005859375,
tr_enc_L2_sin,EN->TL,TL->TL,10,0.4156671788066867,0.559329815847875,0.1436626370411883,0.009765625,
xlmr_base,EN->EN,EN->TL,10,0.583122296495021,0.49619204522951305,-0.08693025126550796,0.00390625,
xlmr_base,EN->TL,TL->TL,10,0.49619204522951305,0.4270537943934567,-0.06913825083605635,0.12890625,
