model_family,model_name,setting,input_variant,mean_macro_f1,std_macro_f1,mean_sarcasm_f1,std_sarcasm_f1,mean_accuracy,std_accuracy,n_runs,mean_params,mean_train_time_s
llm_reference,openai_openai_gpt-4o-mini,TL->TL,context_utterance,0.7236451740506329,,0.7890625,,0.7391304347826086,,1,,
llm_reference,openai_openai_gpt-4o-mini,EN->EN,context_utterance,0.6610123921491946,,0.7330677290836654,,0.6763285024154589,,1,,
classical,tfidf_logreg,EN->EN,context_utterance,0.6499714735572885,0.029249460025557783,0.6183334306212138,0.03599377252905173,0.6531400966183575,0.02860730176000317,10,16557.9,0.35808
classical,tfidf_svm,EN->EN,context_utterance,0.6493240120800056,0.027239327254647113,0.6261297012245812,0.028238534881716792,0.6512077294685991,0.02740360371810972,10,16557.9,0.06768
transformer,mbert,EN->EN,context_utterance,0.6480965996613111,0.03690587762195878,0.6247619845680908,0.056886959154662,0.6516908212560386,0.03545965385741897,10,177854978.0,10.027
transformer,distilbert_multi,EN->EN,context_utterance,0.6188967041681751,0.037293693174892964,0.5935762807215099,0.0719412030214224,0.62512077294686,0.033017162979360526,10,135326210.0,5.7490000000000006
transformer,tagalog_roberta,TL->TL,context_utterance,0.6083383472936553,0.03139878712948853,0.6252137252005855,0.03730004304970947,0.6101449275362318,0.031145998182710688,10,109083650.0,9.786
transformer,distilbert_multi,TL->TL,context_utterance,0.6011349666238593,0.02106073643631829,0.6173483475316905,0.04456361553451375,0.6043478260869565,0.02224904446761868,10,135326210.0,5.682
cnn_rnn,bigru,EN->EN,context_utterance,0.5978136568573496,0.04788049780231925,0.566172960038972,0.09320584597775512,0.6091787439613526,0.04152279376283791,10,619253.2,0.7969999999999999
transformer,mbert,TL->TL,context_utterance,0.5954491398725585,0.025325194618447528,0.6268732470514933,0.04990918097522612,0.6009661835748792,0.025174392587262864,10,177854978.0,10.003
cnn_rnn,text_cnn,EN->EN,context_utterance,0.5941888248186526,0.043536322962879875,0.5685971137315021,0.048900874651383625,0.6014492753623188,0.04119677554095338,10,643381.2,0.8560000000000001
classical,tfidf_logreg,TL->TL,context_utterance,0.5911815866285205,0.024628414908185656,0.6424064335542562,0.027962355618612003,0.5980676328502416,0.025029770341675295,10,17210.4,0.31288
scratch_transformer,abl_layers1,EN->EN,context_utterance,0.5895303246334406,0.04117284512628198,0.564273397196491,0.08554486538006045,0.5975845410628019,0.03938177630894304,10,677237.2,1.301
classical,tfidf_svm,TL->TL,context_utterance,0.5864909428491678,0.028397813311899844,0.6305016058544797,0.03214321878988722,0.5917874396135265,0.028738435261795068,10,17210.4,0.06716
transformer,xlmr_base,EN->EN,context_utterance,0.5831222964950211,0.1140267165840115,0.5584207691499986,0.14898916375717547,0.6169082125603864,0.060981502099577034,10,278045186.0,10.628
scratch_transformer,abl_pos_learn,EN->EN,context_utterance,0.5771186140970506,0.03196876091103913,0.5482014194956976,0.062454853385332826,0.5840579710144927,0.03256244110166655,10,834293.2,1.815
scratch_transformer,tr_enc_L2_sin,EN->EN,context_utterance,0.5770292996545597,0.05040490192308367,0.5330118847009804,0.1052971335713641,0.5903381642512077,0.03849944863708496,10,809717.2,1.863
scratch_transformer,abl_heads2,EN->EN,context_utterance,0.5728676539003149,0.060461542057915686,0.5362173349969048,0.1205093539305772,0.5888888888888889,0.04779381573060486,10,809717.2,1.943
scratch_transformer,abl_layers4,EN->EN,context_utterance,0.5702290308922212,0.045982519594002916,0.5452571411658337,0.05172978079539929,0.5782608695652174,0.04804274353797803,10,1074677.2,3.345
scratch_transformer,single_head_attn,EN->EN,context_utterance,0.5603498444242121,0.06716508373160444,0.5118294246177785,0.13817322908876906,0.5797101449275363,0.04884299802931754,10,594293.2,0.775
scratch_transformer,tr_enc_L2_sin,TL->TL,context_utterance,0.5593298158478751,0.03489053214736546,0.5553792302846896,0.06390936150327388,0.5632850241545894,0.033173866104523254,10,828162.0,1.4529999999999998
classical,tfidf_svm,EN->TL,context_utterance,0.5583886849117639,0.029527977958272934,0.5876131839029382,0.04473647444629923,0.5628019323671498,0.02927481314444098,10,16557.9,0.07379
cnn_rnn,text_cnn,TL->TL,context_utterance,0.5578001900238417,0.02633183489441716,0.5894553170350966,0.06523838757821442,0.5671497584541062,0.022567276059716344,10,661826.0,0.7929999999999999
scratch_transformer,abl_pos_none,EN->EN,context_utterance,0.554448828835648,0.04478989663919072,0.46841637621101107,0.10140169805672299,0.5772946859903382,0.03031911494969845,10,809717.2,1.5799999999999998
classical,tfidf_logreg,EN->TL,context_utterance,0.5543704694865043,0.03908330229836209,0.6160039675838437,0.044524711979583353,0.5661835748792271,0.03541208890796383,10,16557.9,0.32579
